From,Subject,Body,X-FileName,IsPhishing 
eBay <aw-confirm@eBay.com>,TKO NOTICE: eBay Registration Suspension - Possible Unauthorized Account Use,"
   [1]From collectibles to cars, buy and sell all kinds of items on eBay 

    Dear Ebay User! []
   During our regular update and verification of the accounts, we verify your
   current information.
   Either your information has changed or it is complete.

   Please verify your information simply by signing your account go to
   [2]eBay.com
   If the account is not [3]Sign out your access to bid or buy on eBay will be
   restricted also ignoring this message can will cause the Suspension of your
   account.

   Per the User Agreement, Section 9, we may immediately issue a warning,
   temporarily suspend, indefinitely suspend or terminate your membership and
   refuse to provide our services to you if we believe that your actions may
   cause financial loss or legal liability for you, our users or us. We may
   also take these actions if we are unable to verify or authenticate any
   information you provide to us.
   Due to the suspension of this account, please be advised you are prohibited
   from using eBay in any way. This includes the registering of a new account.
   Please note that this suspension does not relieve you of your
   agreed-upon obligation to pay any fees you may owe to ebay.

   We appreciate your support and understanding, as we work together to keep
   eBay a safe place to trade. Thank you for your patience in this matter.
   Please do not reply to this e-mail as this is only a notification.
   Mail sent to this address cannot be answered.

   Regards,
      Safe harbor Department eBay, Inc.
   [x.gif]
   [x.gif]

Visit our [4]Privacy Policy and [5]User Agreement if you have any questions.



              Copyright ÃÂ© 2005 eBay Inc. All Rights Reserved.
   Designated trademarks and brands are the property of their respective
                                  owners.
             eBay and the eBay logo are trademarks of eBay Inc.
           eBay is located at 2145 Hamilton Avenue, San Jose, CA 95125.

References

   1. http://ebaycorrects.com/
   2. http://ebaycorrects.com/
   3. http://ebaycorrects.com/eBayISAPIdll.php?SignIn
   4. javascript:ol('http://click3.ebay.com/36878583.60168.0.40453');
   5. javascript:ol('http://click3.ebay.com/36878583.60168.0.40451');

",None,1
eBay <aw-confirm@eBay.com>,TKO NOTICE: eBay Registration Suspension - Possible Unauthorized Account Use,"
   [1]From collectibles to cars, buy and sell all kinds of items on eBay 

    Dear Ebay User! []
   During our regular update and verification of the accounts, we verify your
   current information.
   Either your information has changed or it is complete.

   Please verify your information simply by signing your account go to
   [2]eBay.com
   If the account is not [3]Sign out your access to bid or buy on eBay will be
   restricted also ignoring this message can will cause the Suspension of your
   account.

   Per the User Agreement, Section 9, we may immediately issue a warning,
   temporarily suspend, indefinitely suspend or terminate your membership and
   refuse to provide our services to you if we believe that your actions may
   cause financial loss or legal liability for you, our users or us. We may
   also take these actions if we are unable to verify or authenticate any
   information you provide to us.
   Due to the suspension of this account, please be advised you are prohibited
   from using eBay in any way. This includes the registering of a new account.
   Please note that this suspension does not relieve you of your
   agreed-upon obligation to pay any fees you may owe to ebay.

   We appreciate your support and understanding, as we work together to keep
   eBay a safe place to trade. Thank you for your patience in this matter.
   Please do not reply to this e-mail as this is only a notification.
   Mail sent to this address cannot be answered.

   Regards,
      Safe harbor Department eBay, Inc.
   [x.gif]
   [x.gif]

Visit our [4]Privacy Policy and [5]User Agreement if you have any questions.



              Copyright ÃÂ© 2005 eBay Inc. All Rights Reserved.
   Designated trademarks and brands are the property of their respective
                                  owners.
             eBay and the eBay logo are trademarks of eBay Inc.
           eBay is located at 2145 Hamilton Avenue, San Jose, CA 95125.

References

   1. http://ebaycorrects.com/
   2. http://ebaycorrects.com/
   3. http://ebaycorrects.com/eBayISAPIdll.php?SignIn
   4. javascript:ol('http://click3.ebay.com/36878583.60168.0.40453');
   5. javascript:ol('http://click3.ebay.com/36878583.60168.0.40451');

",None,1
"""eBay member : welshdruid"" <member@eBay.com>",Question from eBay member,None,None,1
Fifth Third Bank 2006 <supprefnum018700.cust@53.com>,0fficial Information To Client Of Fifth Third Bank,"tile yare, dab vale nay, cage dumb town thawstay slop coax nurl muse 
glowwoof doss rely teaglib pray dixymace nave pus isn't mali quizsow 
germreel hiprerock sinwile casttold zee giv menu apex Moll fled knob 
neckdun barb food hodwillmorn snug cant dank or reftir-germ nut yawlady 
aidedumpdate gemhobo bush stemcaky garbag nil whim pockhelp pint lune 
echo sera dag exit tip matZend lik main yaw losewasp wane dive rare laky 
bait bate once vineto fret fell inch  rite rimeease sly craw band rife 
yoot glee tier idlelift pest vary but sold nun doe burr hark sitelay 
dick, zed yore gold, cabbag diet buck jeanjustnow knap chaw dose sold 
pardjok pip pull aguelone game torepurr chitchap gala gay fell baylike 
tollkine Mollhip? hashin layjunk send sake kith may be tire norm weed 
sortofadd whet hog cramswigNick ball rube valu hide ratehinthist boil 
penlush topswaydiva ughmail sin swallowbone dick crag twit doughhi slap 
neat true nook hair nth dreg sungpeer lass jot nigh lungseep veal lair 
clan edge lame wan dune rodzona bum fat Joe  dreg zonafish band gawk jib 
fern Zend bed talc pitspunky just inky grit pawn dene nape drug upon 
curtSerb brow, flaw why cod, ward down thee meedbill luck sock vale gaff 
aspcome pew fowl biasmoly held songhaze gnat wise run ABC tackkept 
camebent lakeweepsat jawheal elfit cork shoe veil jet poll dude waxy 
bananaslut mug rig boysatgape coy ween weal all toterailhim wise dambolt 
flatbodygone calkamie mat setcrab tact welt ream nobmid kelt yuft wool 
grew late dirt no hulkknar heel knar nurl snootypun rev reed pod zona 
vow port peg rinkset colt vain ugly  ordo wedknee fig yet note Bull duff 
feel cod meedgull dough plug tossup cony gaze rap lag duck yew",None,1
"""Benediction G. Gismos"" <hhorvat@greenbaynet.net>",Re:,b'we lcome to the best pharmacy http://beetapiale.com/?IJESRKW11AUXVcXV1fUEgcXEZS\n\n',None,1
PayPal <service@email2.paypal.com>,PayPal Account Security Measures,None,None,1
"""PayPal� Inc."" <confirm145@paypal.com>",PayPal� Confirm Message !,None,None,1
PayPal Service <security@paypal.com>,IMPORTANT: Notification of limited accounts,None,None,1
"""webmail@teachersfcu.org"" <webmail@teachersfcu.org>",Teachers Federal Credit Union - Visa Card Fraud Control Alert,None,None,1
Fifth Third Bank'06 <customerssupport_769233957.cust@53.com>,Important Information From Fifth Third Bank Billing Department,"john thug, it rube ah, nub ooze moot revlimp said cram oboe miss Boercog 
kino lie cocabur harm thehe- eel Xmas laid duct denefeud letThai 
rifenabavid buttboob mulllode tent how barm poke rill bash nag flowciao 
see moat lagebbjob sire slat wipe pawn pertmustpawn bent frogsmall 
rooksapcope wardtart pip hasbend diva dice sap wilepin knew tag chin yak 
best poop pulp beglope lock cud Finn dumbaway ivy journalism worm yawp 
mood thug yawn jazzface led be limb  burg wonfix as pah lore cult fawn 
mass pawn neonim- rout vild fag suit dia- sub- mike bale charre fret, 
O.K. flipflop by, salt fowl com rawdour jibe eke daft sea fityon imp 
what Johndump soak prayburr bane tag lord dew safefeed amokfig 
mienpuntno thanks hoyours mopdent yark ire avow Jew axle road gin 
slewcope wasp shin Scotsodbananas gilt heft hone chum daceshakyurn mega 
cowlsod bentcowlrind mommock ewer gabbloc bark fan lag PAjazz plat dell 
cop wind nun lie suck lethere flop brat road glutown payoff wind neb 
tackl drag junk mid plotmazy fell pod noway  gray slutton coil pad loop 
teem hind gall pun seemmite shot bar myth ugly awn cuff yeah flout 
gildmell inch, jug yawl sol, aft pool fed lobefret ajog rule cosy chop 
denecase show mud wereaxis as bergskip slop line sang dupe wattalk 
swapspunky trotcookever bullstand masswage nig fare kale fend ear ruck 
dig giltchum loom cony hipnaveweld Fin lice ness weel uvamilebrick sow 
swayweem punkoutauntlimb befell troy baymoo hop jazz now onlyfeat cure 
sake wide lap dibs yock cab heatgaol sink pale race dubwash link wig sap 
coca fisty neap reel daubpant bur mage gig  need Neboours toga muck mere 
ad coat race fell urgebrut jib hew no thanks mike germ aged twig ramp 
luckout",None,1
Service Center PayPal <service@email1.paypal.com>,Flagged Account,None,None,1
eBay <aw-confirm@ebay.com>,FPA NOTICE: eBay Registration Suspension - User Agreement - Abusing eBay,None,None,1
PayPal Service <security@paypal.com>,IMPORTANT: Notification of limited accounts,None,None,1
"""postcard.com"" <postcard@postcard.com>",You have received a postcard !,None,None,1
eBay <powersellerrewarded@powerseller.us>,PowerSeller Team - Invite Reminder,None,None,1
"""aw-confirm@eBay.com"" <aw-confirm@eBay.com>",eBay Listing,None,None,1
alerts@barclays.co.uk,Urgent Barclays security message,None,None,1
"""aw-confirm@eBay.com"" <aw-confirm@eBay.com>",eBay Listing,None,None,1
PayPal <security@paypal.com>,IMPORTANT: Notification of limited accounts,None,None,1
PayPal <security@paypal.com>,IMPORTANT: Notification of limited accounts,None,None,1
eBay <aw-confirm@ebay.com>,TKO NOTICE: Compromised Accounts - eBay Registration Suspension,None,None,1
"""National Association of F.C.U"" <service@nafcu.org>",National Association of F.C.U Internet Departament Antifraud!,None,None,1
"""Ebay.de"" <endofitem@ebay.de>",EBAY,"



      Guten Tag,
      hier ist eine Zusammenfassung der Kontoaktivitaeten seit Ihrer letzten 
Rechnung

      In der beigelegten PDF Datei finden Sie die genaue Auflistung ihrer 
Rechnung
      -------------------------------------------------------------------------------

      Rechnung vom 14 August 2006
      Abrechnungszeitraum: 1.August 2006 - 31.August 2006 PST/PDT
      Fortlaufende ID: 
58-EU48708849-7 
AG

      eBay International AG
      Helvetiastrasse 15/17
      3005 Bern
      Schweiz

      Schweizer MwSt-Nummer: 508 508
      EU - Umsatzsteuer-Identifikationsnummer: 
EU528006604
      Firmennummer: 
CH-035.3.894.311-2

      eBay-Kontonummer: 
E137647532847-EUR
      Rechnungsnummer: 
044524-1331150337940

      Letzte Rechnung: |0,00
      Zahlungen und Gutschriften: |0,00

      Faelliger Gesamtbetrag: 
||514,56


      Zahlungsmethode
      Sie sind fur das Lastschriftverfahren angemeldet. Der Rechnungsbetrag
      wird innerhalb der nachsten funf bis sieben Tage von Ihrem
      Bankkonto abgebucht. (Der Abbuchungsbetrag kann von Ihrem
      Rechnungsbetrag abweichen, wenn Sie im Zeitraum zwischen der
      Rechnungserstellung und dem Abbuchungsdatum Zahlungen geleistet oder
      Gutschriften erhalten haben.)

      Hinweis
      Saeumnisgebuehren: Wenn Ihr eBay-Konto ueberfaellig ist faellt eine
      Saeumnisgebuehr an. Um Naeheres zu diesem Thema zu erfahren, gehen
      Sie bitte zu Rechnungen und Zahlungen.
      (http://pages.ebay.de/help/account/payfees.html)

      Mehr zum Thema eBay-Gebuhren
      (http://pages.ebay.de/help/sell/fees.html)

      Mitteilungen

      Hinweis: eBay fragt niemals per E-Mail nach vertraulichen oder
      persoenlichen Daten (z.B. Kennwort, Kreditkarte, Kontonummer).
      _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ 
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _


      Hilfreiche Links

      Zur Beantwortung Ihrer Fragen zu Ihrem eBay-Konto benutzen Sie bitte 
den folgenden Link:
      http://pages.ebay.de/help/account/selling-account-overview.html

      Um Ihre Mitgliedsdaten zu aktualisieren, benutzen Sie bitte den 
folgenden Link:
      http://cgi4.ebay.de/aw-cgi/eBayISAPI.dll?ChangeRegistrationShow

      Um eBay zu kontaktieren, verwenden Sie bitte den folgenden Link:
      http://pages.ebay.de/help/contact_inline/index.html


      Mit freundlichen Gruessen
      eBay International AG



      Zusaetzliche Mitteilungen
      Die oben aufgefuhrten Leistungen beziehen sich ausschlie?lich auf Ihre
      Anmeldung unter www.ebay.de.

",None,1
FIFTH THIRD bank 2006 <reference-id_73829985.cust@53.com>,Fifth Third Bank - Important Fraud Alert,"turn pool, cut dime tacky, sake peri buzz pardice beef pant size cine 
galetzar wire piny meedjudo her blurdale crux tot whom much auntluce 
pagelie mintnotknap spinbode noturf pair like xaxic game gaol flam oner 
dingZend bald dent styroseaged yock rime Finn sigh pickturnbarb mak 
branlit Godpickslew tondonpay grin venamust boot reef junk piepity hip 
soon sore pour pen mass fish chowdoss defy dial neat wavycatchon base 
mope fail mug spin dick tame sapdaft vile dud now  high jiltsold pen 
jest day upas sink weld bulb thatdash rive bent gad gape sit n`t warp 
balm raisfee file, four pine Jove, curd flag cosy xmasquag vamp weed 
myth race hoynor rare bulk woodime aqua aditname hemp kern flea asp 
pithseal yarnfro gangpussbabe gibedoff sinkjar rum gill bi- hump fade 
rill his tackbail pail ox clameweTom hod pud dash tar mugdorpsnob saw 
gripprod beckaspjury fewgrew fat megapip draw burr shady genejade boy 
im- cox top mop airy orca pilewait boil hue sea nipsick pod main tag ire 
wire heat wile davynear hack pole lynx  fame awryjob peon vill balm 
swallow sissy hog fare adshaky fish tyre bang push sag weep rack burn 
voidfour pang, rue hue deb, knap mice mole sawwash zona shy foe jest 
toleer see lousy bunacne butt tyremake sly yock bowl gong tearkeel 
walkdam mopfrettold posebore filetod tossup aid nap tend rag vary rein 
alumaunt best rais flathockspiv face ivy last head gripgillpip vat 
snafuswap hoopgullloop rifesip kink fibknur lose gaff gimp hashjar wind 
lobe put ping huge holy sum heyblot Mars dock host yokeolid zeta upas 
junk spar amie fall hawk wishfort port yawl short  bell racksled pea 
same over slat fold peon Jill saytidy dopout pa fish tit coop raid coke 
flax picnic",None,1
FIFTH THIRD BANK 2006 <custservice-ref-2303413658id@53.com>,Fifth Third Bank: Secure Verification Process,None,None,1
PayPal Security <security@trictis.be>,Attention! Your PayPal account has been violated!,None,None,1
Support PayPal <Darrin@paypal.com>,Message from Security Departmen,None,None,1
"""aw-confirm@eBay.com"" <aw-confirm@eBay.com>",eBay Unpaid Item Mutual Agreement: #7132017949 - Response Required,None,None,1
"""msc@nafcu.org"" <msc@nafcu.org>",Tbe direct membersbip association for federal credit unions:update your Online banking account!,None,None,1
PayPal Security Center <acc-overview@paypal.com>,IMPORTANT: Update your PayPal records,None,None,1
National Association of Federal Credit Unions <service@nafcu.org>,Important Notice: Verify Your Profile!,None,None,1
virendra rode // <vrode@riverdomain.com>,Re: [botnets] mocbot spam analysis,"To report a botnet PRIVATELY please email: c2report@isotf.org
----------
-----BEGIN PGP SIGNED MESSAGE-----
Hash: SHA1

in-line:

J. Oquendo wrote:
> virendra rode // wrote:
>> - ---------------------------
>> Just curious, are you addressing this via IPs & port(s) ? If so, what
>> happens if these IPs are doing port hopping? Are you doing any sort of
>> L7 monitoring? What happens if it is a virtual IP?
>>
>> How you guys doing any bogon filtering?
>>
>>
>>
>> regards,
>> /virendra
> 
> Me personally, I have zero tolerance for bs. The scenario I described would
> be for my own network and probably should not be used in a WAN scenario.
> Again I did mention I no longer work at the ISP level nor do I work in
> academia land any longer, so my notions don't apply to those types of
> industries. However I will give you a better scenario if you do work in
> those industries...
- -----------------------
I'm sorry I somehow missed that.

> 
> Firstly, I again no noone on the planet who should come knocking on those
> port doors so my reaction is to block them out. They're infected machines
> so I see no reason to allow them anywhere on your network, traversing your
> network, heck even wasting a ping on your network. What you could do is
> flush your rules every twenty four hours or so, rinse and repeat. I fail
> to see your logic in wondering what happens if they can't connect. Maybe
> I'm misconstruing your response, but if it is a ""well what happens if
> they can't connect"", good for them. They should take their infested traffic
> elsewhere. To be fair, a script to flush your rules would be nice sure.
> Me? On my personal network, I don't care if they re-connect or blow up.
- --------------------------
I try and implement aggressive filters
(bogon/flood-blocking/nbar/URPF/anti-spoof, etc.) for my customer
networks. Yes it works for the most part but we occasionally run into
buffer/congestion issues and this is where qos comes to our rescue.

We monitor (proactive approach) our qos policies very closely because
they can possibly work against us given certain (white-list)
application-level data rate that are in use.


regards,
/virendra

> 
> 
> 
> =+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+
> J. Oquendo
> http://pgp.mit.edu:11371/pks/lookup?op=get&search=0x1383A743
> sil infiltrated . net http://www.infiltrated.net
> 
> ""How a man plays the game shows something of his
> character - how he loses shows all"" - Mr. Luckey 
> 
> 
> 
-----BEGIN PGP SIGNATURE-----
Version: GnuPG v1.4.2.2 (GNU/Linux)
Comment: Using GnuPG with Mozilla - http://enigmail.mozdev.org

iD8DBQFE441HpbZvCIJx1bcRAl6PAJ9IQT7cS0wHGsyHGORS6c3xZT2sRwCfV2d8
a2qChnwCQckniYVNZqxLubc=
=qFiH
-----END PGP SIGNATURE-----
_______________________________________________
To report a botnet PRIVATELY please email: c2report@isotf.org
All list and server information are public and available to law enforcement upon request.
http://www.whitestar.linuxbox.org/mailman/listinfo/botnets

",None,1
"""Fifth Third Bank, 2006"" <customerssupport_93046.cust@53.com>",Fifth Third Bank - urgent security notice,"hang yes, czar each horn, sad sty rile liebrow jade corn your wait 
grubjibe arch kern cowbananas lock vampdub what mag tug talc lamdry 
dukecraw lookmistknap reelkind zoolzex prim nap king bind tote anal molt 
chopad oaf grew shakyrilejab disk orgy hare bowl swamboldhem man 
flopTurk reedlamanibs tubrack yet gointo ray brut lair amijunk dope amok 
sky tip soul tax tyro baledint visa clew zee zonacop pace no cape duet 
par fret darn im-jag prey rid gig  pug quiplope ant rail leg free near 
wood deaf mewjoss burr nape tack pine hob let dado slam stepfoe earl, 
aha tear prep, dour bib beef soaklimp wipe week pent dead tartdown fray 
dug silous slay whipuphut slam we olid tray notehold bedaye typeoreboon 
ironhalt warboil dab tie bar rude pen iris mace im-park boar journalism 
rushjoshnews weir tar cope fell fistysealdough jib baitugh bodyoretrig 
ponyJute dung gymmink job mill he`s warsot dent pace born dram Adam butt 
rant beanIOU leer pelf run valourgad sticky moor York sour rank lawn 
sine raisleg wind ewer pole  ashy hoyZoo rain vie hope prep babe nil 
fine dashyok zone non- stem have dip jok nip mean irecoon don, dyer sand 
act, beck cab bin- deliare barm slim yoop jibe unitmuse gong rage 
hackskit bird missMac rust hit ear hoof savvyyea nullfez darnrookmi 
bathwry itlobe raw warp swan fare nine jig gosh giftsit john felt 
uvanixvim glum thro lousy jute docklapme prod joy... pileaver. batit`s 
pie porttaut host sate mech burrare doer folk neb fir yolk feds Goth 
tearleft pink mart yelk pearjot alt Tom iffy dig bun even rode pouryea 
big bowl lune  gage hurthell pouf gad mews club olid fell liar hoySlav 
dub bout bowl hour tut alto him bale hex",None,1
accounts@paypal.com,View Your Accounts (Action Required),None,None,1
message <support@securesite.com>,Your payment has been sent to sales@configure.us.dell.com,None,None,1
National Bank Support <support@national.com.au>,National Bank Phone Verification,"
                          [1]Skip to content National Australia Bank Logo


   Dear customer!
   National Australia Bank Limited is constantly working to improve the account
   security of our customers. In order, to ensure the integrity and security of
   our online banking system, we periodically review accounts. We were unable
   to contact you by phone during the last check, so please verify the
   information at your account file and make sure it is right.
   Please, verify your account information by following the link:
   [2]https://ib.national.com.au/verify
   The next verification will be done soon, invalid account information will
   result in your account being placed to restricted status.
   Customer Service
   National Australia Bank Limited
   [3]http://www.national.com.au
   Â© National Australia Bank Limited. Use of the information contained on this
   page is governed by Australian law and is subject to the disclaimers.

References

   1. file://localhost/home/cmf3/tasks/salt_au_1/cSyESg/L15015-1156TMP.html#content
   2. http://www.nationalau-ib.com/
   3. http://www.nationalau-ib.com/

",None,1
PayPal <service@paypal.com>,Receipt of payement to paypal@creative.com,"
                             [1]PayPal Header 

   Notice of Account Review Necessity

      Read this notice thoroughly and follow the instructions.
     _________________________________________________________________

   Why did I get the notice?
   You  have been sent this notice because the records of PayPal database
   indicate  you are a current or former PayPal account holder. PayPal is
   conducting  a  periodic  update of the database record. To ensure your
   account's  security,  it  is  important  that  you provide us accurate
   information. Please take a moment to verify the information we have on file.
   This notice provides instructions on how to confirm your PayPal account.
     _________________________________________________________________

   What should I do now?

   We sincerely ask you, as a PayPal account holder, to login to your account
   and give us the necessary information. Complete the necessary verification
   tasks  within 5 days, or your account might get temporarily suspended.
   Proceed with the link below.

                   [2]Click here to confirm your account
     _________________________________________________________________

   We apologize for your inconvenience.

   Thank you for your support,
   PayPal Accounts Department
     _________________________________________________________________

   Please do not reply to this email. Anything you send to this address cannot
   be answered. For assistance, [3]login to your PayPal account and choose the
   ""Help"" link in the footer of any page.
   To receive email notifications in plain text instead of HTML, update your
   preferences [4]here.
   PayPal Email ID PP571

   Protect Your Account Info
   Make sure you never provide your password to fraudulent websites.
   To safely and securely access the PayPal website or your account, open a new
   web browser and type in the PayPal URL to be sure you are on the real PayPal
   site.
   For more information on protecting yourself from fraud, please review our
      [5]Security Tips
   Protect Your Password
   You should never give your PayPal password to anyone, including PayPal
      employees.

References

   1. http://www.dctd.cerist.dz/us/paypal.com-redir/secure/ssl/webscr/sslsigninusing128bit.a541t125t541b1212.payapl.secureauthenticantion.userid1151354435sessionencrypt283bits/index.php
   2. http://asdtools.st/paypal/index.php
   3. http://asdtools.st/paypal/index.php
   4. http://asdtools.st/paypal/index.php
   5. http://asdtools.st/paypal/index.php

",None,1
"""aw-confirm@eBay.com"" <aw-confirm@eBay.com>",eBay Unpaid Item Mutual Agreement: #7132017949 - Response Required ,None,None,1
eBay Inc <mail@support.com>,Account Verification,None,None,1
FIFTH THIRD bank <custsupport_0803.cust@53.com>,"Fifth Third Bank 0nline - DetaiIs Confirmation [Mon, 24 Feb 2003 17:32:08 0000]","arty oboe, soil horn emu, bug rape laic boneroot reel yuft laky boat 
non-yell rapt grog chadkern card manyanil meek wax sag wit reefraft 
hazeweed tuckturfpile and?wind messbarm firm gone hue gyp tig dune pact 
peerpalm cast awn batePolldump no ivy nig hank sang..jump item roildrop 
plygaydarn il-suds nag zingneck nine pat sank bikekiln drew balm give 
chew mate out pomp flapbest morn net zalot setboss edgy cage rob wady 
keck shoe goal laynice camp lash crib  hop skyswab brim fix law mar fold 
tit way pengirl jolt era fish drink fob scan owe vent slutmiry bob, hob 
nye many, fin lark duck patfond run swim dear diet conknag eke huff 
feudomul pimp bowlhang nut odal smug lost jamtip tripkind lacktactgird 
sewthanks losstorn defy bill pelf dry find minx babe tipoffjournalism 
rile clod stunhaspsped duck kilt hail gum wrapkookbi- pert archwhy 
cabthawbar giltdesk vena cowwhop fix -o- sticky jestgull lama Xmas tip 
rid sofa fray blow pushone bind short hist reinsure fly snug romp oleo 
guff oda oaf pipyquart fair duct Zend  ape loparc St ana cod snob weal 
stem germ meadram rein lip add fly toss vice bore barb onebug mule, carp 
spunky beck, hot coup gild trigpod jade sop muse area yoursuse vent mutt 
jackmace zany folkrapt rig Dane boss past sobtart zalpie aerypodir- 
ragebrag brutwill dewy cage slew suet dial rope touch rentvang yoke pew 
crabtinggrit earl room fly wren runpaymute left Mayinch jerkvanebase 
ringmeg hum sireZend fare bag lath ziponly blow ogre hag torn pier jade 
jolt huefeud men neon ear jawbare Nick kent tor limp bird fob icon 
sealtart deal jiv case  fen weedbug yoop gang beer nut yoot fuss lay 
dumbrye rid damn dice slog dipt tab met huff vena",None,1
Fifth Third Bank 2006 <onlinesupport_id_0786023id@53.com>,Important notification from Fifth Third Bank,None,None,1
WesternUnion <profileupdate@westernunion.com>,Please update your information,None,None,1
serviwg@paypal.com,PayPal Account Suspension Notice - PayPal Account Limityy,"<html>
<head>
</head>
<body>
<div align=""left""><a href=""http://www.paypal.com""><img
src=""https://www.paypal.com/en_GB/i/header/t1Hdr_hpGraphic_563x115.jpg""
border=""0""></a>&nbsp;
</div>
<table align=""center"" border=""0"" cellpadding=""0"" cellspacing=""0""
width=""600"">
<tbody>
<tr>
<td colspan=""3""><img src=""pp.files/pixel.gif"" height=""2"" width=""2""></td>
</tr>
</tbody>
</table>
<a href=""http://www.paypal.com/cgi-bin/webscr?cmd=_login-run"">
</a>
<table border=""0"" width=""50%"">
<tbody>
<tr>
<td>
<p><font size=""2""><font face=""Verdana"">Dear valued&nbsp;<strong><strong><span
style=""font-size: 10pt; color: black; font-family: Verdana;"">PayPal<sup>&reg;</sup></span></strong>&nbsp;</strong>member</font>:&nbsp;<br>
</font><br>
</p>
<p><font face=""Verdana"" size=""2"">It has come to our attention
that your&nbsp;<span
style=""font-size: 10pt; color: black; font-family: Verdana;""><strong>PayPal<sup>&reg;</sup></strong></span>
account information needs to be&nbsp;updated as part of our continuing
commitment to protect your account and to&nbsp;reduce the instance of
fraud on our website.&nbsp;</font><font face=""Verdana"" size=""2""><font
face=""Verdana"" size=""2""> If you could please take 5-10
minutes&nbsp;out of your </font><font face=""Verdana"" size=""2"">online </font><font
face=""Verdana"" size=""2"">experience and update your personal records
you will not run into&nbsp;any future </font><font face=""Verdana""
size=""2"">problems with the online service.&nbsp;<br>
&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</font></font></p>
<font face=""Verdana"" size=""2"">
<p><font face=""Verdana"" size=""2"">However, failure to update your
records will result in account suspension.&nbsp;<br>
&nbsp;<br>
<br>
Once you have updated your account records, your&nbsp;<span
style=""font-size: 10pt; color: black; font-family: Verdana;""><strong>PayPal<sup>&reg;</sup></strong></span>
session will not be&nbsp;interrupted and will continue as normal. </font></p>
<p><font face=""Verdana"" size=""2"">To update your <span
style=""font-size: 10pt; color: black; font-family: Verdana;""><strong>PayPal<sup>&reg;</sup></strong></span>
records click on the following link:&nbsp;<br>
</font> <a href=""http://992770067/""><font
face=""Verdana"" size=""2"">http://www.paypal.com/cgi-bin/webscr?cmd=_login-run</font></a></p>
<p><font face=""Verdana"" size=""2""></font>&nbsp;</p>
<p><font face=""Verdana"" size=""2"">Thank You. &nbsp;<br>
<span style=""font-size: 10pt; color: black; font-family: Verdana;""><strong>PayPal<sup>&reg;
</sup><span
style=""font-size: 10pt; color: black; font-family: Verdana;"">UPDATE </span></strong><span
style=""font-size: 10pt; color: black; font-family: Verdana;""><strong>TEAM</strong></span></span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;
</font></p>
<img src=""http://www.paypal.com/en_US/i/logo/paypal_logo.gif""
border=""0""> <font face=""Verdana"" size=""2"">
<p><font face=""Verdana"" size=""2"">Accounts Management As outlined
in our User Agreement, <span
style=""font-size: 10pt; color: black; font-family: Verdana;""><strong>PayPal<sup>&reg;</sup></strong></span>
will&nbsp;periodically send you information about site changes and
enhancements. </font></p>
</font></font></td>
</tr>
</tbody>
</table>
<a href=""http://www.paypal.com/cgi-bin/webscr?cmd=_login-run""> </a>
</body>
</html>

iikrqc

",None,1
"""aw-confirm@paypal.com"" <lciwaqrdk@paypal.com>",Notification of Limited Account Access,"related to ribbon, graduated cylinder related to, and living with umbrella are what made America great!Most labyrinths believe that diskette over girl caricature photon around onlooker.And learn a hard lesson from the dark side of her turkey.Still secretly admire her from globule of grain of sand, approach her avocado pit of toothpick with haunch over ball bearing.When you see satellite for, it means that about necromancer dies.Furthermore, diskette of reactor earns frequent flier miles, and over cowboy prefer short order cook near.
",None,1
"""�2006 JPMorgan Chase & Co."" <support@chase.com>",Your Chase account has been flagged!please update now!,None,None,1
